,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,Home or apt,Hotel room,Private room,Shared room,Private Bath,Shared Bath,bathrooms_number,amenities,not_a_superhost,superhost
3185,5541.0,2,1.0,1.0,34.0,2,113,1,0,0,0,1,0,1.0,20.0,1,0
3186,165084.0,2,1.0,1.0,29.0,2,10,1,0,0,0,1,0,1.0,15.0,1,0
3187,3780.0,2,1.0,1.0,14.0,5,11,0,0,1,0,0,1,1.0,14.0,0,1
3188,165084.0,2,1.0,1.0,28.0,2,63,1,0,0,0,1,0,1.0,18.0,1,0
3189,48959.0,2,1.0,1.0,38.0,3,65,1,0,0,0,1,0,1.0,19.0,0,1
3190,16742.0,4,1.0,1.0,50.0,5,0,1,0,0,0,1,0,1.0,10.0,1,0
3191,68915.0,4,2.0,2.0,124.0,2,34,1,0,0,0,1,0,1.0,16.0,0,1
3192,3780.0,1,1.0,1.0,11.0,3,3,0,0,1,0,0,1,1.0,12.0,0,1
3193,3780.0,1,1.0,1.0,12.0,3,10,0,0,1,0,0,1,1.0,12.0,0,1
3194,28598.0,3,1.0,2.0,64.0,1,162,1,0,0,0,1,0,1.0,9.0,0,1
3195,6001.0,2,1.0,2.0,500.0,1,52,0,0,0,1,0,1,2.0,8.0,1,0
3196,28598.0,2,1.0,2.0,500.0,1,37,0,0,0,1,0,1,2.0,8.0,1,0
3197,3780.0,2,1.0,1.0,13.0,3,9,0,0,1,0,0,1,1.0,11.0,0,1
3198,28598.0,2,1.0,1.0,62.0,2,60,1,0,0,0,1,0,1.0,17.0,0,1
3199,3780.0,2,1.0,1.0,27.0,2,32,1,0,0,0,1,0,1.0,17.0,0,1
3200,48959.0,2,1.0,1.0,14.0,3,11,0,0,1,0,0,1,1.5,18.0,0,1
3201,22164.0,2,1.0,2.0,55.0,3,1,0,0,1,0,1,0,1.0,19.0,1,0
3202,165084.0,4,2.0,3.0,125.0,1,5,1,0,0,0,1,0,1.0,17.0,0,1
3203,32190.0,8,2.0,5.0,88.0,1,10,1,0,0,0,1,0,1.5,17.0,1,0
3204,16742.0,4,2.0,3.0,24.0,1,102,1,0,0,0,1,0,1.5,18.0,0,1
3205,48959.0,1,1.0,1.0,13.0,3,8,0,0,1,0,0,1,1.5,16.0,0,1
3206,28598.0,2,1.0,2.0,500.0,1,19,0,0,0,1,0,1,2.0,9.0,1,0
3207,28598.0,2,1.0,2.0,500.0,1,11,0,0,0,1,0,1,2.0,9.0,1,0
3208,10103.0,2,1.0,2.0,500.0,1,33,0,0,0,1,0,1,2.0,12.0,1,0
3209,28598.0,2,1.0,2.0,500.0,1,20,0,0,0,1,0,1,2.0,9.0,1,0
3210,28598.0,11,2.0,11.0,1500.0,1,16,1,0,0,0,1,0,2.0,9.0,1,0
3211,28598.0,2,1.0,1.0,25.0,2,244,1,0,0,0,1,0,1.0,17.0,0,1
3212,165084.0,2,1.0,1.0,60.0,1,72,1,0,0,0,1,0,1.0,19.0,1,0
3213,10257.0,3,1.0,2.0,26.0,2,11,1,0,0,0,1,0,1.0,18.0,1,0
3214,32190.0,4,2.0,2.0,70.0,3,24,1,0,0,0,1,0,2.0,18.0,0,1
3215,48959.0,2,1.0,1.0,14.0,5,7,0,0,1,0,0,1,1.5,15.0,0,1
3216,48959.0,2,1.0,1.0,13.0,3,1,0,0,1,0,0,1,1.5,15.0,0,1
3217,25345.0,5,2.0,4.0,107.0,2,9,1,0,0,0,1,0,2.0,20.0,0,1
3218,3508.0,4,1.0,2.0,36.0,2,49,1,0,0,0,1,0,1.0,19.0,0,1
3219,15856.0,4,2.0,3.0,40.0,2,11,1,0,0,0,1,0,1.0,18.0,1,0
3220,165084.0,3,1.0,1.0,43.0,1,112,1,0,0,0,1,0,1.0,18.0,0,1
3221,25392.0,3,1.0,2.0,35.0,2,22,1,0,0,0,1,0,1.0,18.0,0,1
3222,165084.0,2,1.0,2.0,49.0,3,0,1,0,0,0,1,0,1.0,4.0,1,0
3223,15856.0,3,1.0,2.0,42.0,2,42,1,0,0,0,1,0,1.0,18.0,0,1
3224,165084.0,4,1.0,2.0,62.0,2,67,1,0,0,0,1,0,1.5,16.0,0,1
3225,80939.0,4,2.0,2.0,82.0,3,0,1,0,0,0,1,0,1.0,19.0,0,1
3226,165084.0,4,2.0,3.0,64.0,2,156,1,0,0,0,1,0,1.0,20.0,1,0
3227,80939.0,2,1.0,1.0,30.0,14,38,0,0,1,0,0,1,1.0,13.0,1,0
3228,32190.0,4,2.0,2.0,36.0,3,100,1,0,0,0,1,0,1.0,19.0,1,0
3229,2591.0,4,1.0,1.0,44.0,3,9,1,0,0,0,1,0,1.0,20.0,0,1
3230,165084.0,2,1.0,1.0,78.0,2,50,1,0,0,0,1,0,1.0,17.0,1,0
3231,48959.0,4,1.0,2.0,29.0,3,9,1,0,0,0,1,0,1.0,18.0,0,1
3232,10552.0,2,1.0,1.0,39.0,1,12,1,0,0,0,1,0,1.0,12.0,1,0
3233,68915.0,4,2.0,2.0,77.0,1,144,1,0,0,0,1,0,1.0,17.0,0,1
3234,165084.0,3,1.0,1.0,58.0,1,52,1,0,0,0,1,0,1.0,19.0,0,1
3235,165084.0,5,1.0,1.0,55.0,1,3,1,0,0,0,1,0,1.0,19.0,1,0
3236,68915.0,4,2.0,2.0,70.0,2,6,1,0,0,0,1,0,1.0,18.0,1,0
3237,80939.0,2,1.0,1.0,69.0,11,28,0,0,1,0,0,1,1.0,13.0,1,0
3238,165084.0,6,2.0,2.0,126.0,1,15,1,0,0,0,1,0,1.0,18.0,1,0
3239,80939.0,2,1.0,1.0,32.0,3,28,0,0,1,0,0,1,1.0,13.0,1,0
3240,80939.0,2,1.0,1.0,21.0,3,34,0,0,1,0,0,1,1.5,19.0,1,0
3241,23411.0,2,1.0,1.0,38.0,1,37,1,0,0,0,1,0,1.0,18.0,0,1
3242,165084.0,4,1.0,3.0,58.0,1,45,1,0,0,0,1,0,1.0,19.0,0,1
3243,165084.0,4,1.0,3.0,58.0,1,34,1,0,0,0,1,0,1.0,19.0,0,1
3244,16742.0,4,1.0,2.0,30.0,2,0,1,0,0,0,1,0,1.0,17.0,1,0
3245,48959.0,5,2.0,4.0,70.0,3,9,1,0,0,0,1,0,2.0,20.0,1,0
3246,165084.0,2,1.0,1.0,59.0,2,36,1,0,0,0,1,0,1.0,14.0,1,0
3247,80939.0,2,1.0,1.0,29.0,1,194,1,0,0,0,1,0,1.0,15.0,0,1
3248,15856.0,2,1.0,1.0,29.0,1,37,1,0,0,0,1,0,1.0,18.0,0,1
3249,25345.0,2,1.0,1.0,70.0,2,11,1,0,0,0,1,0,1.0,19.0,0,1
3250,23411.0,2,1.0,2.0,37.0,2,18,1,0,0,0,1,0,1.0,15.0,1,0
3251,165084.0,2,1.0,1.0,31.0,2,74,1,0,0,0,1,0,1.0,16.0,1,0
3252,165084.0,4,1.0,2.0,54.0,2,72,1,0,0,0,1,0,1.0,15.0,0,1
3253,165084.0,3,1.0,1.0,38.0,2,77,1,0,0,0,1,0,1.0,18.0,1,0
3254,165084.0,2,1.0,1.0,49.0,2,87,1,0,0,0,1,0,1.0,15.0,0,1
3255,165084.0,4,1.0,2.0,54.0,2,74,1,0,0,0,1,0,1.0,15.0,0,1
3256,25392.0,3,1.0,1.0,30.0,2,75,1,0,0,0,1,0,1.0,17.0,1,0
3257,24405.0,3,1.0,1.0,40.0,2,35,1,0,0,0,1,0,1.0,13.0,1,0
3258,16742.0,3,1.0,1.0,40.0,2,61,1,0,0,0,1,0,1.0,16.0,0,1
3259,165084.0,2,1.0,1.0,70.0,1,6,1,0,0,0,1,0,1.5,19.0,0,1
3260,165084.0,4,1.0,1.0,140.0,1,0,1,0,0,0,1,0,1.0,20.0,1,0
3261,165084.0,4,1.0,4.0,41.0,3,40,1,0,0,0,1,0,1.0,14.0,1,0
3262,25392.0,4,1.0,4.0,35.0,2,30,1,0,0,0,1,0,1.0,18.0,0,1
3263,25392.0,3,1.0,1.0,70.0,2,9,1,0,0,0,1,0,1.0,19.0,0,1
3264,10552.0,3,1.0,2.0,25.0,2,34,1,0,0,0,1,0,1.0,19.0,1,0
3265,25345.0,4,2.0,3.0,91.0,2,96,1,0,0,0,1,0,1.0,18.0,0,1
3266,10257.0,2,1.0,1.0,26.0,2,1,1,0,0,0,1,0,1.0,18.0,1,0
3267,5894.0,10,4.0,7.0,160.0,3,0,1,0,0,0,1,0,2.0,14.0,1,0
3268,5894.0,5,2.0,3.0,60.0,3,0,1,0,0,0,1,0,1.0,14.0,1,0
3269,48959.0,4,1.0,2.0,28.0,2,104,1,0,0,0,1,0,1.0,18.0,0,1
3270,5894.0,4,1.0,1.0,30.0,3,0,1,0,0,0,1,0,1.0,11.0,1,0
3271,80939.0,4,1.0,1.0,50.0,2,0,1,0,0,0,1,0,1.0,18.0,1,0
3272,25392.0,4,2.0,2.0,31.0,2,81,1,0,0,0,1,0,1.5,20.0,1,0
3273,32190.0,4,1.0,1.0,100.0,2,0,1,0,0,0,1,0,1.0,10.0,1,0
