,id,host_is_superhost,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,Home or apt,Hotel room,Private room,Shared room,Private Bath,Shared Bath,bathrooms_number,amenities
8367,49352417,f,ΑΝΩ ΚΥΨΕΛΗ,2,1.0,1.0,32.0,1,1,1,0,0,0,1,0,1.0,10.0
8368,49353701,f,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,8,2.0,5.0,55.0,2,1,1,0,0,0,1,0,2.0,11.0
8369,49373903,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,10,2.0,5.0,79.0,1,25,1,0,0,0,1,0,2.0,19.0
8370,49381401,t,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,4,2.0,2.0,76.0,2,23,1,0,0,0,1,0,1.0,19.0
8371,49381541,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,53.0,1,26,1,0,0,0,1,0,1.0,19.0
8372,49382964,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,49.0,1,32,1,0,0,0,1,0,1.0,18.0
8373,49395360,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,4,2.0,2.0,250.0,2,22,1,0,0,0,1,0,2.0,20.0
8374,49396974,f,ΚΟΛΩΝΟΣ,3,1.0,3.0,28.0,60,1,1,0,0,0,1,0,1.0,11.0
8375,49400809,t,ΘΗΣΕΙΟ,4,2.0,2.0,126.0,2,11,1,0,0,0,1,0,1.0,15.0
8376,49409816,f,ΚΟΛΩΝΑΚΙ,4,2.0,3.0,81.0,1,5,1,0,0,0,1,0,1.5,15.0
8377,49411865,f,ΠΕΔΙΟ ΑΡΕΩΣ,4,2.0,2.0,150.0,2,6,1,0,0,0,1,0,2.5,17.0
8378,49412306,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,2,1.0,1.0,22.0,4,10,1,0,0,0,1,0,1.0,9.0
8379,49412836,f,ΝΕΟΣ ΚΟΣΜΟΣ,4,1.0,2.0,40.0,7,2,1,0,0,0,1,0,1.0,19.0
8380,49414583,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,54.0,1,42,1,0,0,0,1,0,1.0,19.0
8381,49422814,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,54.0,1,7,1,0,0,0,1,0,1.0,18.0
8382,49423490,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,56.0,1,5,1,0,0,0,1,0,1.0,18.0
8383,49423966,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,2,1.0,1.0,31.0,2,48,1,0,0,0,1,0,1.0,17.0
8384,49430459,t,ΚΟΛΩΝΟΣ,2,1.0,1.0,37.0,2,8,1,0,0,0,1,0,1.0,14.0
8385,49430674,f,ΖΑΠΠΕΙΟ,6,2.0,3.0,90.0,2,20,1,0,0,0,1,0,1.0,16.0
8386,49432266,f,ΚΕΡΑΜΕΙΚΟΣ,9,3.0,7.0,112.0,3,7,1,0,0,0,1,0,2.0,14.0
8387,49433867,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,2,1.0,1.0,38.0,1,11,0,0,1,0,0,1,1.5,16.0
8388,49436582,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,4,2.0,2.0,77.0,2,28,1,0,0,0,1,0,2.0,14.0
